,Annotation Cluster 1,Enrichment Score: 17.788187525631553,,,,,,,,,,
 TTN,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 TPM1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 DES,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 DMD,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 EMD,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 ACTC1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA2D1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 LMNA,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 IGF1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA2D3,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNG1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 TNNI3,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA2D2,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA1S,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 TNNT2,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 ADRB1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 SGCG,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 PLN,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 SGCD,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 RYR2,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 GNAS,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA1F,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA1C,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNA1D,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 SGCA,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 SGCB,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
MYL2,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 TNNC1,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 MYL3,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 PRKAG2,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 MYBPC3,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 CACNB1,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 CACNB2,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 CACNB3,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 CACNB4,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 TTN,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 TPM1,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 ACE,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 DES,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
 DMD,KEGG_PATHWAY,cfa05410:Hypertrophic cardiomyopathy (HCM),33,6.547619048,7.35E-22,"MYL2, TNNC1, MYL3, PRKAG2, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, ACE, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, SGCG, SGCD, RYR2, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,79,6781,8.355662597,1.88E-19,9.40E-20
