A1BG,1,11167,yes,A1bg,MGI:2152878,,1
AAGAB,79719,11648,yes,Aagab,MGI:1914189,,34
AAK1,22848,128746,yes,Aak1,MGI:1098687,MP:0005377,35
AAMDC,28971,11658,yes,Aamdc,MGI:1913523,,36
AAMP,14,846,yes,Aamp,MGI:107809,,37
AANAT,15,31013,yes,Aanat,MGI:1328365,MP:0005379,38
AANAT,15,31013,yes,Aanat,MGI:1328365,MP:0003631,39
AAR2,25980,9170,yes,Aar2,MGI:1915545,,40
AARD,441376,17041,yes,Aard,MGI:2181621,,41
AARS,16,1213,yes,Aars,MGI:2384560,MP:0005384,42
AARS,16,1213,yes,Aars,MGI:2384560,MP:0005369,43
AARS,16,1213,yes,Aars,MGI:2384560,MP:0005378,44
AARS,16,1213,yes,Aars,MGI:2384560,MP:0010771,45
AARS,16,1213,yes,Aars,MGI:2384560,MP:0003631,46
AARS,16,1213,yes,Aars,MGI:2384560,MP:0005385,47
AARS,16,1213,yes,Aars,MGI:2384560,MP:0010768,48
AARS,16,1213,yes,Aars,MGI:2384560,MP:0005386,49
AARS2,57505,56897,yes,Aars2,MGI:2681839,MP:0010768,50
AARS2,57505,56897,yes,Aars2,MGI:2681839,MP:0005385,51
AARSD1,80755,6821,yes,Aarsd1,MGI:1916934,,52
AASDH,132949,71711,yes,Aasdh,MGI:2442517,,53
AASDHPPT,60496,9130,yes,Aasdhppt,MGI:1914868,,54
AASS,10157,4212,yes,Aass,MGI:1353573,,55
AATF,26574,40811,yes,Aatf,MGI:1929608,MP:0005378,56
AATF,26574,40811,yes,Aatf,MGI:1929608,MP:0005384,57
AATF,26574,40811,yes,Aatf,MGI:1929608,MP:0005380,58
AATF,26574,40811,yes,Aatf,MGI:1929608,MP:0010768,59
AATK,9625,74861,yes,Aatk,MGI:1197518,MP:0003631,60
ABAT,18,542,yes,Abat,MGI:2443582,,61
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005381,62
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0003631,63
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005391,64
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005387,65
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005390,66
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005367,67
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005380,68
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005370,69
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005388,70
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005385,71
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005397,72
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005389,73
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0010768,74
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0001186,75
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005379,76
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005369,77
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005376,78
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005384,79
ABCA1,19,21130,yes,Abca1,MGI:99607,MP:0005378,80
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005382,81
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005376,82
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005384,83
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005385,84
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005378,85
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0010768,86
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0010771,87
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005388,88
ABCA12,26154,45441,yes,Abca12,MGI:2676312,MP:0005386,89
ABCA13,154664,27991,yes,Abca13,MGI:2388707,MP:0005376,90
ABCA13,154664,27991,yes,Abca13,MGI:2388707,MP:0005389,91
ABCA13,154664,27991,yes,Abca13,MGI:2388707,MP:0005386,92
ABCA17P,650655,86807,yes,Abca17,MGI:3625331,,93
ABCA2,20,55590,yes,Abca2,MGI:99606,MP:0005378,94
ABCA2,20,55590,yes,Abca2,MGI:99606,MP:0005376,95
ABCA2,20,55590,yes,Abca2,MGI:99606,MP:0005386,96
ABCA2,20,55590,yes,Abca2,MGI:99606,MP:0010768,97
ABCA2,20,55590,yes,Abca2,MGI:99606,MP:0005389,98
ABCA2,20,55590,yes,Abca2,MGI:99606,MP:0003631,99
ABCA3,21,37437,yes,Abca3,MGI:1351617,MP:0005385,100
ABCA3,21,37437,yes,Abca3,MGI:1351617,MP:0010768,101
ABCA3,21,37437,yes,Abca3,MGI:1351617,MP:0005388,102
ABCA3,21,37437,yes,Abca3,MGI:1351617,MP:0005386,103
ABCA3,21,37437,yes,Abca3,MGI:1351617,MP:0005376,104
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0001186,105
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0005385,106
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0005397,107
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0005391,108
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0003631,109
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0005390,110
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0005376,111
ABCA4,24,298,yes,Abca4,MGI:109424,MP:0005387,112
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005391,113
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005370,114
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005386,115
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005385,116
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0010768,117
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005379,118
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005369,119
ABCA5,23461,10263,yes,Abca5,MGI:2386607,MP:0005376,120
ABCA6,23460,71264,yes,Abca6,MGI:1923434,MP:0005397,121
ABCA6,23460,71264,yes,Abca6,MGI:1923434,MP:0003631,122
ABCA6,23460,71264,yes,Abca6,MGI:1923434,MP:0005376,123
ABCA7,10347,22783,yes,Abca7,MGI:1351646,MP:0005375,124
ABCA7,10347,22783,yes,Abca7,MGI:1351646,MP:0005376,125
ABCA7,10347,22783,yes,Abca7,MGI:1351646,MP:0005385,126
ABCA7,10347,22783,yes,Abca7,MGI:1351646,MP:0005367,127
ABCA8,10351,131160,yes,Abca8a,MGI:2386846,,128
ABCA8,10351,56029,yes,Abca8b,MGI:1351668,,129
ABCA9,10350,33332,yes,Abca9,MGI:2386796,,130
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005387,131
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0003631,132
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005377,133
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005381,134
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0010768,135
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005385,136
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005397,137
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005386,138
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005370,139
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005376,140
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005379,141
ABCB1,5243,55496,yes,Abcb1a,MGI:97570,MP:0005378,142
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0005370,143
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0005380,144
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0005397,145
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0005385,146
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0010768,147
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0010771,148
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0005376,149
ABCB10,23456,6474,yes,Abcb10,MGI:1860508,MP:0005384,150
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0005391,151
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0010768,152
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0005386,153
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0005370,154
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0005388,155
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0005376,156
ABCB11,8647,74509,yes,Abcb11,MGI:1351619,MP:0005378,157
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005370,158
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0002006,159
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005389,160
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005397,161
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005385,162
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005381,163
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005390,164
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005384,165
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005387,166
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005376,167
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005379,168
ABCB4,5244,136368,yes,Abcb4,MGI:97569,MP:0005378,169
ABCB5,340273,83488,yes,Abcb5,MGI:1924956,,170
ABCB6,10058,11375,yes,Abcb6,MGI:1921354,MP:0010768,171
ABCB6,10058,11375,yes,Abcb6,MGI:1921354,MP:0005397,172
ABCB6,10058,11375,yes,Abcb6,MGI:1921354,MP:0005384,173
ABCB6,10058,11375,yes,Abcb6,MGI:1921354,MP:0005376,174
ABCB6,10058,11375,yes,Abcb6,MGI:1921354,MP:0010771,175
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0005380,176
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0005370,177
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0010768,178
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0005385,179
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0005376,180
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0005378,181
ABCB7,22,3175,yes,Abcb7,MGI:109533,MP:0005384,182
ABCB8,11194,5203,yes,Abcb8,MGI:1351667,MP:0005385,183
ABCB8,11194,5203,yes,Abcb8,MGI:1351667,MP:0005369,184
ABCB8,11194,5203,yes,Abcb8,MGI:1351667,MP:0005376,185
ABCB9,23457,10491,yes,Abcb9,MGI:1861729,MP:0005379,186
ABCC1,4363,133779,yes,Abcc1,MGI:102676,MP:0005376,187
ABCC1,4363,133779,yes,Abcc1,MGI:102676,MP:0005387,188
ABCC1,4363,133779,yes,Abcc1,MGI:102676,MP:0003631,189
ABCC1,4363,133779,yes,Abcc1,MGI:102676,MP:0005397,190
ABCC1,4363,133779,yes,Abcc1,MGI:102676,MP:0010768,191
ABCC10,89845,58616,yes,Abcc10,MGI:2386976,MP:0005376,192
ABCC10,89845,58616,yes,Abcc10,MGI:2386976,MP:0005379,193
ABCC10,89845,58616,yes,Abcc10,MGI:2386976,MP:0010768,194
ABCC10,89845,58616,yes,Abcc10,MGI:2386976,MP:0005378,195
ABCC10,89845,58616,yes,Abcc10,MGI:2386976,MP:0005397,196
ABCC10,89845,58616,yes,Abcc10,MGI:2386976,MP:0005387,197
ABCC12,94160,57211,yes,Abcc12,MGI:2441679,,198
ABCC2,1244,68052,yes,Abcc2,MGI:1352447,MP:0005367,199
ABCC2,1244,68052,yes,Abcc2,MGI:1352447,MP:0005376,200
ABCC2,1244,68052,yes,Abcc2,MGI:1352447,MP:0005370,201
ABCC2,1244,68052,yes,Abcc2,MGI:1352447,MP:0005397,202
ABCC3,8714,68364,yes,Abcc3,MGI:1923658,MP:0005376,203
ABCC3,8714,68364,yes,Abcc3,MGI:1923658,MP:0010771,204
ABCC3,8714,68364,yes,Abcc3,MGI:1923658,MP:0005386,205
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005386,206
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005397,207
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005385,208
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0010768,209
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005381,210
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0003631,211
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005387,212
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005367,213
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005378,214
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0010771,215
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005379,216
ABCC4,10257,74563,yes,Abcc4,MGI:2443111,MP:0005376,217
ABCC5,10057,21164,yes,Abcc5,MGI:1351644,,218
ABCC6,368,55559,yes,Abcc6,MGI:1351634,MP:0005376,219
ABCC6,368,55559,yes,Abcc6,MGI:1351634,MP:0010771,220
ABCC6,368,55559,yes,Abcc6,MGI:1351634,MP:0005391,221
ABCC6,368,55559,yes,Abcc6,MGI:1351634,MP:0005367,222
ABCC6,368,55559,yes,Abcc6,MGI:1351634,MP:0005385,223
ABCC8,6833,68048,yes,Abcc8,MGI:1352629,MP:0005379,224
ABCC8,6833,68048,yes,Abcc8,MGI:1352629,MP:0005376,225
ABCC9,10060,56521,yes,Abcc9,MGI:1352630,MP:0005378,226
ABCC9,10060,56521,yes,Abcc9,MGI:1352630,MP:0005369,227
ABCC9,10060,56521,yes,Abcc9,MGI:1352630,MP:0005384,228
ABCC9,10060,56521,yes,Abcc9,MGI:1352630,MP:0005376,229
ABCC9,10060,56521,yes,Abcc9,MGI:1352630,MP:0010768,230
ABCC9,10060,56521,yes,Abcc9,MGI:1352630,MP:0005385,231
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005397,232
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0002873,233
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005389,234
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005386,235
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005387,236
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0003631,237
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005391,238
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005379,239
ABCD1,215,55426,yes,Abcd1,MGI:1349215,MP:0005376,240
ABCD2,225,55873,yes,Abcd2,MGI:1349467,MP:0003631,241
ABCD2,225,55873,yes,Abcd2,MGI:1349467,MP:0005387,242
ABCD2,225,55873,yes,Abcd2,MGI:1349467,MP:0005386,243
ABCD2,225,55873,yes,Abcd2,MGI:1349467,MP:0005397,244
ABCD2,225,55873,yes,Abcd2,MGI:1349467,MP:0005379,245
ABCD2,225,55873,yes,Abcd2,MGI:1349467,MP:0005376,246
ABCD3,5825,2140,yes,Abcd3,MGI:1349216,MP:0005376,247
ABCD3,5825,2140,yes,Abcd3,MGI:1349216,MP:0005384,248
ABCD3,5825,2140,yes,Abcd3,MGI:1349216,MP:0005370,249
ABCD4,5826,3703,yes,Abcd4,MGI:1349217,MP:0010771,250
ABCD4,5826,3703,yes,Abcd4,MGI:1349217,MP:0005386,251
ABCE1,6059,2205,yes,Abce1,MGI:1195458,MP:0010768,252
ABCF1,23,849,yes,Abcf1,MGI:1351658,MP:0010768,253
ABCF2,10061,21408,yes,Abcf2,MGI:1351657,,254
ABCF3,55324,22784,yes,Abcf3,MGI:1351656,,255
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005376,256
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005384,257
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005378,258
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005375,259
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005370,260
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005388,261
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005386,262
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005387,263
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005390,264
ABCG1,9619,21022,yes,Abcg1,MGI:107704,MP:0005397,265
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0002873,266
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005397,267
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005386,268
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005370,269
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005367,270
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005387,271
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0003631,272
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005375,273
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0010771,274
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005384,275
ABCG2,9429,55852,yes,Abcg2,MGI:1347061,MP:0005376,276
ABCG4,64137,75179,yes,Abcg4,MGI:1890594,MP:0005376,277
ABCG4,64137,75179,yes,Abcg4,MGI:1890594,MP:0005384,278
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005369,279
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005384,280
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005376,281
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005378,282
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005385,283
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005397,284
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005381,285
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005387,286
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005386,287
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005370,288
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0010768,289
ABCG5,64240,31909,yes,Abcg5,MGI:1351659,MP:0005389,290
ABCG8,64241,23361,yes,Abcg8,MGI:1914720,MP:0005370,291
ABCG8,64241,23361,yes,Abcg8,MGI:1914720,MP:0005381,292
ABCG8,64241,23361,yes,Abcg8,MGI:1914720,MP:0005384,293
ABCG8,64241,23361,yes,Abcg8,MGI:1914720,MP:0005376,294
ABHD1,84696,,yes,Abhd1,MGI:1931013,,295
ABHD10,55347,10173,yes,Abhd10,MGI:2442422,,296
ABHD11,83451,5961,yes,Abhd11,MGI:1916008,,297
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0005377,298
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0003631,299
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0005387,300
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0005386,301
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0005397,302
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0005369,303
ABHD12,26090,22910,yes,Abhd12,MGI:1923442,MP:0005376,304
ABHD12B,145447,128243,yes,Abhd12b,MGI:2685650,,305
ABHD13,84945,6716,yes,Abhd13,MGI:1916154,,306
ABHD14A,25864,22889,yes,Abhd14a,MGI:1915894,MP:0005390,307
ABHD14B,84836,9125,yes,Abhd14b,MGI:1923741,,308
ABHD15,116236,12142,yes,Abhd15,MGI:1914727,,309
ABHD16A,7920,10904,yes,Abhd16a,MGI:99476,MP:0005397,310
ABHD16A,7920,10904,yes,Abhd16a,MGI:99476,MP:0010768,311
ABHD16A,7920,10904,yes,Abhd16a,MGI:99476,MP:0005376,312
ABHD16A,7920,10904,yes,Abhd16a,MGI:99476,MP:0005387,313
ABHD16A,7920,10904,yes,Abhd16a,MGI:99476,MP:0005378,314
ABHD16B,140701,15422,yes,Abhd16b,MGI:3607711,,315
ABHD17A,81926,50272,yes,Abhd17a,MGI:106388,MP:0005376,316
ABHD17A,81926,50272,yes,Abhd17a,MGI:106388,MP:0005397,317
ABHD17A,81926,50272,yes,Abhd17a,MGI:106388,MP:0005387,318
ABHD17B,51104,41089,yes,Abhd17b,MGI:1917816,,319
ABHD17C,58489,26429,yes,Abhd17c,MGI:1917428,,320
ABHD18,80167,105457,yes,Abhd18,MGI:1915468,,321
ABHD2,11057,23121,yes,Abhd2,MGI:1914344,MP:0005384,322
ABHD2,11057,23121,yes,Abhd2,MGI:1914344,MP:0005376,323
ABHD2,11057,23121,yes,Abhd2,MGI:1914344,MP:0005385,324
ABHD3,171586,14055,yes,Abhd3,MGI:2147183,,325
ABHD4,63874,56937,yes,Abhd4,MGI:1915938,,326
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005387,327
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005390,328
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005385,329
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005397,330
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005389,331
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0010768,332
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005370,333
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005376,334
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005384,335
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005369,336
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005378,337
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0010771,338
ABHD5,51099,41088,yes,Abhd5,MGI:1914719,MP:0005379,339
ABHD6,57406,23246,yes,Abhd6,MGI:1913332,,340
ABHD8,79575,11188,yes,Abhd8,MGI:1918946,MP:0005371,341
ABHD8,79575,11188,yes,Abhd8,MGI:1918946,MP:0005390,342
ABHD8,79575,11188,yes,Abhd8,MGI:1918946,MP:0005386,343
ABHD8,79575,11188,yes,Abhd8,MGI:1918946,MP:0005378,344
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0003631,345
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005387,346
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005380,347
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005378,348
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005397,349
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005385,350
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0010768,351
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005382,352
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005376,353
ABI1,10006,38053,yes,Abi1,MGI:104913,MP:0005384,354
ABI2,10152,4209,yes,Abi2,MGI:106913,MP:0005384,355
ABI2,10152,4209,yes,Abi2,MGI:106913,MP:0005386,356
ABI2,10152,4209,yes,Abi2,MGI:106913,MP:0005387,357
ABI2,10152,4209,yes,Abi2,MGI:106913,MP:0003631,358
ABI2,10152,4209,yes,Abi2,MGI:106913,MP:0005391,359
ABI2,10152,4209,yes,Abi2,MGI:106913,MP:0005397,360
ABI3,51225,9505,yes,Abi3,MGI:1913860,,361
ABI3BP,25890,134172,yes,Abi3bp,MGI:2444583,MP:0010768,362
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005385,363
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005397,364
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0010768,365
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0002873,366
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005380,367
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005388,368
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005370,369
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005386,370
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005387,371
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005390,372
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005381,373
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0003631,374
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005382,375
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005391,376
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005378,377
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005379,378
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005376,379
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005384,380
ABL1,25,3783,yes,Abl1,MGI:87859,MP:0005369,381
ABL2,27,5278,yes,Abl2,MGI:87860,MP:0005386,382
ABL2,27,5278,yes,Abl2,MGI:87860,MP:0005380,383
ABL2,27,5278,yes,Abl2,MGI:87860,MP:0010768,384
ABL2,27,5278,yes,Abl2,MGI:87860,MP:0005389,385
ABL2,27,5278,yes,Abl2,MGI:87860,MP:0005385,386
